id,bipartite,displayname,category
117502,person,Elisha His,R
101127,person,Viator,U
133920,person,William Hamilton,L
142113,person,Frances Courtney,L
142121,person,Tertul,H
117547,person,Rachel,R
142127,person,Antheus,F
117553,person,Richard Browne,L
125746,person,William Grey,L
142136,person,Croesus,H
109372,person,Earl Of Kingston Viscount Newark Lord Pierrepoint,L
109374,person,William Laud Archbishop Of Cantcrbury,L
142147,person,Joseph Hall,L
109388,person,S● Paul,R
125783,person,Ammon,R
133990,person,Cerberus,F
109425,person,St Bernard,H
101235,person,Wilfrid,L
134003,person,Parr,L
134005,person,Brotherly,L
134008,person,Achilles,F
134009,person,Suares,L
142202,person,John Tombs,L
134010,person,Elias,R
109437,person,Albertinus,H
117631,person,John Gadbury,L
125825,person,Ahab,R
117637,person,Atossa,H
117639,person,Charles Bertie,L
101259,person,Mr Rowland,L
109471,person,Robert Petrie,L
125866,person,Sarjeant Of Law,L
125867,person,Folckmotto,U
142253,person,Will Wale,L
142258,person,Huldah,R
125880,person,Neroni,H
125884,person,Rob Abbot,L
134077,person,Tertul It,H
109503,person,William Haywood,L
125889,person,Appendix,U
134081,person,Alexander Ross,L
142282,person,Advances,U
125900,person,John Duncan,L
125907,person,Tantene,L
125909,person,Barlee,L
101338,person,Hampton,L
125922,person,Aberd,L
101349,person,Juliano,U
101365,person,St Chrysostome,H
142327,person,Barrabas,R
109573,person,Lucifer,R
117768,person,Jehoshaphat,R
134177,person,Cain,R
101427,person,Charles Ii,L
101431,person,Archbishop Of Armagh,L
117820,person,Amaleck,R
117823,person,Pliny,H
134211,person,Venazuza,L
134217,person,Aeschines,H
126033,person,God,R
101468,person,Viscount Poderidge Duke Of Albemarle Earl Of Essex,L
142430,person,Confederation,U
117867,person,Maximus,U
142443,person,Edward Bagshaw,L
142454,person,Caroline University,L
109693,person,Nicholas,L
142466,person,Diomedes,F
101535,person,Charles Coote,L
142498,person,Thomas Willsford,L
117930,person,Rougham,L
134320,person,Thomas Patients,L
142513,person,Henry Ii,H
117939,person,Dr Gauden,L
109755,person,Thomas Case,L
134338,person,Colos,U
117955,person,Johanna St John,L
109764,person,Etc,U
101570,person,Absalon,R
142545,person,Holnicote,L
117973,person,Wechicombe,L
126177,person,Ames Short,L
134371,person,Conyers Darcy,L
101609,person,Numa,H
142581,person,Valentia,H
118014,person,Nedham,L
101632,person,Dux,U
126223,person,Simon Patrick,L
109845,person,St Matthew,R
134423,person,St James,R
142615,person,Irenaeus,H
134431,person,Charlevalle,L
101667,person,Faithful,L
142636,person,Aristotle,H
101677,person,Boaz,R
118067,person,Saul,R
126266,person,George Swinnocke,L
126278,person,John Glyn,L
142669,person,Thomas Vnderhill,L
101719,person,Maximinian,H
118104,person,Augustus,H
142685,person,His Andrew,L
134498,person,William Wild,L
118120,person,Rochel,U
126316,person,Samuel Keme,L
101750,person,Brightman,L
109961,person,Stephen Walbrook,L
134541,person,Sanderson,L
101774,person,Balaam,R
109972,person,Lavacrun Dei,U
101782,person,Edward Reynolds,L
134553,person,Albany,L
126371,person,Pilate,R
134567,person,Phaeton,F
126380,person,John Gaul,L
126396,person,John Crew,L
126419,person,Tota,U
118230,person,Assur,R
110039,person,John Durant,L
134617,person,Diana,F
126435,person,Jacob,R
126438,person,Barnabyes,L
110056,person,John Crouch,L
110058,person,Nebo,R
118256,person,Micah,R
126451,person,Henry Lord Arundel,L
134650,person,Io Martin,L
110075,person,Thomas Watson,L
101884,person,William Moorehead,L
118266,person,Bernard,L
101885,person,Mr Hezekiah,L
126464,person,John Burnet Thesaurer,L
126466,person,Jeffery Burwel,L
126469,person,Tyburn,L
101909,person,Un Pigmeo,U
101921,person,Andes,L
118306,person,Extract,U
134695,person,John Hus,H
110126,person,Lluellin,H
126511,person,Edward Atkins,L
110127,person,Lord Grant,L
126524,person,Ramoth-Gilead,R
134718,person,Stow,L
101953,person,Marquis,L
134736,person,Wh●,U
134742,person,King William,L
126552,person,Ius Divinum,U
101979,person,Swynfen,L
110189,person,Isidorus Pelusiota,H
134769,person,Hushai,R
118387,person,John Williams,L
118399,person,Smith,L
102030,person,Pasquil,U
134798,person,Strait,U
126607,person,Dionysius,F
102045,person,Jachin,R
110240,person,John Skelton,H
102053,person,Orbis Amor,U
118449,person,Fuentes,L
118455,person,B Gerbier,L
110266,person,P●…Ogenies,U
126651,person,Socrates,H
126676,person,Gorgias,H
118489,person,Dunster,L
126684,person,Edmond Bowyar,L
102109,person,Archee,L
102115,person,William Oldisworth,L
102122,person,George Bennyon,L
110317,person,Apolog,U
134897,person,James Davies,L
134900,person,Meroz,R
118517,person,Nisus,U
118520,person,William Lower,L
134925,person,Ulysses,F
134929,person,Photion,H
126754,person,Fr Eglesfield,L
126760,person,Lul,U
102185,person,Follie,L
118571,person,Marcellina,H
126783,person,Joseph,R
110407,person,Matthew Carter,L
134984,person,Kings-Norton,L
126796,person,Queen Elizabeth,L
118608,person,Brington,L
126806,person,Ezekiel,R
126807,person,Trajanus Arintheus,H
118623,person,Dr Willet,L
126825,person,Junius Brutus,H
110443,person,Epaminondas,H
110447,person,Cicero,H
110463,person,Carolo,L
102273,person,Thomas Nevil,L
126852,person,Edgar,U
126861,person,Aromates,U
110479,person,Maunvers,U
118674,person,Livy,H
102297,person,Anthony Walker,L
102310,person,Pomwater,U
110507,person,Christopher,L
102318,person,John Garfeild,L
118709,person,Jeremy Taylor,L
102326,person,Cedar,U
118715,person,Zech,R
110526,person,William Brereton,L
126916,person,Charles R,L
135122,person,Cardan,U
135125,person,John Tatham,L
102373,person,Prophet Jeremiah,R
102399,person,Tertul He,H
102403,person,Richard Matthew,L
102422,person,Josephus Crabb,L
135194,person,Antipoedo,U
135207,person,Corah,R
102440,person,Josias,U
110640,person,Humphredo,L
110646,person,Father Of Glorious,R
118841,person,Mr Crofton,L
127036,person,Cyprian,H
127041,person,Cornelius Agrippa,L
118851,person,Iii,U
127049,person,Achaia,H
135252,person,William Paston,L
102497,person,Josiah,R
102498,person,Maximinus,H
118883,person,Abiram,R
118882,person,Gynesio,L
102514,person,Of Ratcliff,L
110709,person,Abraham,R
102529,person,Robert Cotton,L
135299,person,Symiones,U
127113,person,John Heydon,L
135309,person,William Prynne,L
102549,person,N Bernard,L
102554,person,James Usher,L
127139,person,Cloriana,F
127144,person,Legum,U
118957,person,John Robinson,L
135343,person,Lady Mary,L
110769,person,Cushi,R
118967,person,Cargazone,U
127169,person,Bagshaw,L
110796,person,Myndas,R
127192,person,Cebes,H
102627,person,Scites,H
119012,person,Hannibal,H
119016,person,Robert Hunt,L
127209,person,Judas Thirty,R
110832,person,St John,R
135425,person,Giles,L
110857,person,Acropolis,H
102681,person,Baylies,L
119066,person,Sarum,U
110877,person,Edward Atkyns,L
119073,person,Achitophel,R
110888,person,Mr Garthwait,L
119087,person,Caio Caesari,H
135474,person,Aristides,H
102709,person,Henry Vii,H
135485,person,Christopher Wyvel,L
135492,person,Lord Bishop,L
127302,person,Vulcan,F
135509,person,Minerva,F
135516,person,Robert Boil,L
110947,person,Bishop Of Exeter,L
102756,person,Hector,F
127339,person,Duke Of Rohan,L
110959,person,Anna Dickinson,L
127356,person,Long-Whatton,L
110973,person,John Micklethwait,L
135565,person,Edward Matthew,L
135576,person,Posthumous,H
119196,person,Robert Hamilton,L
127391,person,Francis Luttrell,L
135589,person,Caesar,H
102826,person,Caes●R,H
135599,person,Sozimus,H
111023,person,Zoroastres,R
135602,person,Nathaniel Hardy,L
119222,person,John Lord Grenvile Baron Of Stow Earl Of,L
102840,person,Diptyches,U
135617,person,Suarez,L
111048,person,Arthur Hildersham,L
135626,person,Fortescue,L
135628,person,Grotius,L
111052,person,Camerwell,L
135637,person,Thomas Hall,L
135640,person,N Ingelo,L
111066,person,Latimer,L
119258,person,Themistoeles,H
